distrito,mpo_inegi
D20008,20067
D20008,20390
D20008,20399
D20008,20293
D20008,20157
D20008,20091
D20008,20087
D20010,20324
D20010,20413
D20010,20059
D20010,20439
D20010,20085
D20010,20401
D20010,20028
D20010,20570
D20010,20277
D20010,20509
D20010,20012
D20010,20126
D20010,20159
D20010,20015
D20010,20384
D20010,20398
D20010,20095
D20010,20291
D20010,20534
D20010,20366
D20010,20424
D20010,20235
D20010,20347
D20010,20306
D20010,20378
D20010,20017
D20010,20391
D20010,20203
D20010,20263
D20010,20254
D20010,20113
D20010,20535
D20010,20071
D20010,20351
D20010,20146
D20010,20123
D20010,20061
D20010,20344
D20010,20279
D20010,20271
D20010,20069
D20010,20154
D20010,20117
D20010,20353
D20010,20533
D20010,20253
D20010,20167
D20010,20358
D20010,20420
D20010,20149
D20010,20236
D20010,20429
D20010,20080
D20010,20362
D20010,20048
D20010,20563
D20010,20289
D20010,20241
D20010,20268
D20010,20155
D20010,20512
D20010,20238
D20010,20542
D20010,20101
D20010,20538
D21006,21114
D21009,21114
D21009,21041
D21011,21114
D21012,21114
D21015,21156
D21015,21177
D21015,21149
D21015,21161
D21015,21082
D21015,21092
D21015,21018
D21015,21037
D23001,23005
D23001,23008
D23001,23001
D23001,23009
D23001,23007
D23001,23003
D23001,23011
D23003,23005
D23004,23005
D23004,23008
D23004,23007
D23004,23003
D23004,23011
D25002,25001
D25005,25006
D25007,25006
D26006,26018
D27001,27012
D27001,27001
D27001,27017
D27001,27007
D27001,27011
D27002,27002
D27002,27008
D27003,27005
D27003,27006
D27004,27004
D27005,27013
D27005,27003
D27005,27014
D27005,27010
D27006,27004
D27006,27016
D27006,27015
D27006,27009
D29002,29033
D29002,29025
D29002,29010
D29002,29018
D29002,29041
D29002,29028
D29002,29048
D29002,29002
D29002,29027
D29002,29029
D29002,29050
D29002,29017
D29002,29059
D29002,29022
D29002,29060
D29003,29005
D29003,29006
D29003,29044
D29003,29015
D29003,29043
D29003,29024
D29003,29023
D29003,29036
D29003,29019
D29003,29021
D29003,29014
D29003,29042
D29003,29032
D29003,29001
D29003,29040
D29003,29020
D29003,29058
D29003,29012
D29003,29056
D29003,29053
D29003,29059
D29003,29045
D29003,29054
D29003,29049
D29003,29011
D29003,29057
D29003,29051
D29003,29055
D30007,30102
D30007,30010
D30007,30109
D30007,30183
D30007,30023
D30007,30086
D30007,30194
D30007,30163
D30007,30107
D30010,30087
D30011,30039
D30011,30204
D30011,30111
D30011,30082
D30014,30108
D30014,30061
D30014,30142
D30014,30144
D30014,30210
D30014,30091
D30014,30070
D30016,30044
D30016,30068
D30016,30014
D30016,30021
D30016,30080
D30016,30062
D30016,30196
D30016,30165
D30016,30186
D30020,30048
D30020,30073
D30020,30089
D30020,30149
D30020,30206
D30020,30172
D30020,30122
D30020,30104
D30020,30116
D30020,30145
D30020,30059
D30020,30120
D30020,30209
D30020,30199
D32001,32010
D32001,32042
D32001,32005
D32001,32040
D32001,32009
D32001,32006
D32001,32013
D32001,32021
D05001,5025
D05001,5002
D05001,5028
D05001,5032
D05001,5022
D05001,5003
D05001,5038
D05001,5014
D05001,5019
D07011,7078
D07011,7052
D07011,7064
D07011,7041
D07011,7094
D07011,7004
D07011,7038
D07011,7115
D07011,7024
D07011,7007
D08009,8032
D08009,8029
D08009,8027
D08009,8065
D08009,8007
D08009,8008
D08009,8060
D08009,8012
D08009,8003
D08009,8046
D08009,8067
D08009,8059
D08009,8044
D08009,8039
D08009,8061
D08009,8049
D08009,8022
D08009,8057
D08009,8014
D08009,8056
D08009,8064
D08009,8033
D11001,11014
D11001,11033
D11001,11013
D11001,11043
D11001,11040
D11001,11045
D11001,11034
D11001,11006
D11003,11020
D11004,11015
D11004,11030
D11004,11029
D11004,11022
D11005,11020
D11006,11020
D11007,11023
D11007,11031
D11007,11025
D11007,11008
D11010,11028
D11010,11011
D11010,11046
D11010,11041
D11010,11021
D11010,11036
D11011,11020
D11013,11042
D11013,11001
D11013,11026
D11013,11018
D11013,11012
D11013,11016
D11013,11024
D12006,12028
D12006,12061
D12006,12076
D12006,12051
D12006,12010
D12006,12002
D12006,12074
D12006,12020
D12006,12042
D12006,12079
D12006,12044
D12006,12072
D12006,12063
D14001,14083
D14001,14094
D14001,14003
D14001,14055
D14001,14009
D14001,14036
D14001,14061
D14001,14045
D14001,14029
D14001,14025
D14001,14005
D14001,14040
D14001,14095
D14001,14007
D14001,14042
D14001,14019
D14001,14041
D14001,14115
D14001,14104
D14001,14075
D14001,14031
D14001,14076
D14001,14071
D14001,14081
D14002,14053
D14002,14073
D14002,14035
D14002,14064
D14002,14109
D14002,14074
D14002,14072
D14003,14093
D14003,14008
D14003,14091
D14003,14046
D14003,14078
D14003,14118
D14003,14116
D14003,14048
D14003,14125
D14003,14111
D14003,14060
D14003,14117
D14006,14120
D14008,14039
D14010,14120
D14011,14039
D14012,14097
D14013,14120
D14013,14098
D14014,14039
D14015,14063
D14015,14018
D14015,14013
D14015,14066
D14015,14016
D14015,14047
D14015,14105
D14015,14033
D14015,14123
D14017,14044
D14017,14030
D14017,14050
D14017,14119
D14017,14077
D14017,14024
D14017,14002
D14017,14096
D14017,14114
D14017,14059
D14017,14092
D14017,14010
D14017,14107
D14017,14026
D14017,14057
D14018,14006
D14018,14015
D14018,14022
D14018,14043
D14018,14037
D14018,14021
D14018,14027
D14018,14088
D14018,14110
D14018,14017
D14018,14068
D14018,14099
D14018,14122
D14018,14090
D14018,14032
D14018,14102
D14018,14052
D14018,14011
D14018,14054
D14018,14106
D14018,14028
D14018,14034
D14019,14023
D14019,14085
D14019,14082
D14019,14108
D14019,14121
D14019,14086
D14019,14087
D14019,14113
D14019,14079
D14019,14065
D14019,14049
D14019,14069
D14019,14014
D14019,14103
D14019,14112
D14019,14004
D14019,14089
D14019,14056
D14020,14101
D14020,14070
D14020,14124
D14020,14001
D14020,14051
D16004,16076
D16004,16075
D16004,16045
D16004,16084
D16004,16103
D16004,16105
D16004,16062
D16004,16019
D16004,16104
D16004,16091
D16004,16051
D16004,16095
D16004,16011
D16004,16074
D16004,16023
D16011,16066
D16011,16082
D16011,16079
D16011,16009
D16011,16097
D16011,16049
D16011,16111
D16011,16090
D16011,16087
D16011,16100
D16011,16001
D16011,16039
D16011,16057
D16011,16048
D19001,19048
D19001,19019
D19004,19006
D19004,19046
D19009,19033
D19009,19038
D19009,19049
D19009,19017
D19009,19004
D19009,19014
D19009,19007
D19009,19022
D19009,19013
D19009,19011
D19009,19036
D19009,19029
D19009,19024
D19009,19020
D19009,19042
D19009,19030
D19009,19016
D19009,19043
D19009,19027
D19009,19015
D19009,19003
D19009,19023
D19009,19035
D19010,19039
D19011,19039
D19011,19026
D19011,19031
D21002,21208
D21002,21053
D21002,21172
D21002,21083
D21002,21212
D21002,21072
D21002,21049
D21002,21006
D21002,21078
D21002,21202
D21002,21167
D21002,21107
D21002,21008
D21002,21039
D21002,21016
D21002,21084
D21002,21192
D21002,21210
D21002,21077
D21002,21215
D21002,21088
D21002,21162
D21002,21029
D21002,21200
D21002,21101
D21002,21028
D21002,21080
D21002,21216
D21002,21030
D22001,22004
D22001,22012
D22001,22005
D22001,22018
D22001,22009
D22001,22002
D22001,22013
D22001,22010
D22001,22003
D22001,22015
D22005,22006
D22005,22011
D22005,22001
D22005,22008
D24001,24020
D24001,24021
D24001,24049
D24001,24025
D24001,24015
D24001,24022
D24001,24007
D24001,24001
D24001,24045
D24001,24033
D24001,24006
D24001,24047
D24001,24044
D24001,24048
D24002,24035
D24002,24050
D24002,24032
D24002,24055
D24002,24046
D24002,24043
D24002,24009
D24003,24024
D24003,24011
D24003,24010
D24003,24017
D24003,24008
D24003,24005
D24003,24023
D24003,24056
D24003,24051
D24003,24031
D24003,24027
D24003,24052
D24003,24002
D24003,24019
D24003,24030
D24003,24004
D24005,24028
D24007,24037
D24007,24054
D24007,24003
D24007,24053
D24007,24057
D24007,24029
D24007,24012
D24007,24041
D24007,24018
D24007,24039
D24007,24038
D24007,24014
D24007,24026
D28005,28041
D28005,28016
D28005,28013
D28005,28030
D28005,28034
D28005,28042
D28005,28020
D28005,28036
D28006,28021
D28006,28012
D28006,28039
D28006,28002
D28006,28037
