distrito,AdultosMayores,ApoyoMadresTrab,BecasUniv,BenitoJuarez,BienestarDiscapacitados,CreditoGanaPalabra,FertiGuerrero,JoCuFu,MediaSuperior,MejoramientoUrbano-RYCJ,MejoUrbano-VAB,PNR-ReconstruViv,PrBiPeEmSoNa,ProdBienProdCafe,ProdBienProdCanaAzu,ProdBienProdIndig,ProdBienPyMProd,SembrandoVida
D15014,111872,1088,1517.0,13665,3562,0.0,3.0,4866,0.0,0.0,0.0,0.0,0.0,1.0,14.0,1.0,689,0.0
D15015,28717,625,255.0,3140,1067,0.0,0.0,1308,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,175,0.0
D15016,140829,774,2132.0,12907,4884,0.0,8.0,12632,0.0,0.0,0.0,0.0,0.0,2.0,17.0,0.0,1175,0.0
D15017,87646,631,1423.0,4791,3802,0.0,6.0,10477,0.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,814,0.0
D15018,57112,1906,1682.0,26769,3442,0.0,0.0,4985,45.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,2909,0.0
D15019,53183,143,709.0,8116,1082,0.0,2.0,2155,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,361,0.0
D15020,77073,1211,1086.0,2503,1731,0.0,2.0,7002,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,426,0.0
D15021,28279,903,611.0,6015,3139,1.0,0.0,4952,0.0,0.0,0.0,517.0,0.0,0.0,2.0,0.0,3184,0.0
D15022,55569,174,169.0,3333,1591,0.0,0.0,2486,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,458,2.0
D15023,19038,818,688.0,288,1605,0.0,0.0,2613,62.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1243,0.0
D15024,55569,174,169.0,3333,1591,0.0,0.0,2486,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,458,2.0
D15025,19615,627,670.0,11658,1558,0.0,1.0,3126,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,143,0.0
D15026,43327,1655,1562.0,26288,2707,0.0,0.0,4169,45.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,2262,0.0
D15027,19866,613,608.0,1729,622,0.0,0.0,2734,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,624,0.0
D15028,16493,360,137.0,4449,1531,0.0,2.0,2068,236.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3108,0.0
D15029,77073,1211,1086.0,2503,1731,0.0,2.0,7002,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,426,0.0
D15030,25811,722,721.0,12144,1940,0.0,1.0,4472,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,375,0.0
D15031,77073,1211,1086.0,2503,1731,0.0,2.0,7002,0.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,426,0.0
D15032,13620,248,84.0,4876,1119,0.0,0.0,1598,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,93,1.0
D15033,13722,398,537.0,2685,797,0.0,3.0,2460,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1408,0.0
D15034,40263,1537,1549.0,25973,2342,0.0,0.0,3966,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,1657,0.0
D15035,24620,1355,976.0,3060,2682,0.0,1.0,5384,388.0,0.0,0.0,466.0,0.0,0.0,6.0,1.0,4639,0.0
D15036,30690,306,1551.0,7505,2648,0.0,15.0,14027,1305.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,13799,0.0
D15037,17463,314,3.0,3968,1344,0.0,0.0,1394,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,817,1.0
D15038,19369,331,4084.0,5986,2213,0.0,0.0,3798,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1760,0.0
D15039,29976,935,1041.0,15875,2570,0.0,1.0,4138,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,324,1.0
D15040,20636,375,831.0,13351,2354,0.0,1.0,2187,0.0,0.0,0.0,0.0,0.0,1.0,3.0,169.0,7344,0.0
D15041,16520,332,586.0,1158,1312,0.0,0.0,3348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1076,0.0
D16001,22100,275,1170.0,7750,2510,10.0,8.0,6133,978.0,0.0,0.0,0.0,0.0,0.0,107.0,0.0,4660,0.0
D16002,33918,584,161.0,9853,2069,0.0,0.0,5345,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,11459,0.0
D16003,27928,303,627.0,13771,2246,137.0,18.0,13848,458.0,0.0,0.0,0.0,0.0,0.0,1.0,123.0,8219,0.0
D16004,30398,630,550.0,7265,1403,0.0,0.0,2885,182.0,0.0,0.0,0.0,0.0,0.0,411.0,0.0,6863,0.0
D16005,29077,548,252.0,5078,888,0.0,0.0,1566,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5855,0.0
D16006,26750,395,755.0,13252,3564,0.0,0.0,5258,399.0,0.0,0.0,0.0,0.0,0.0,2.0,87.0,8206,0.0
D16007,33240,691,692.0,7270,2528,0.0,0.0,5928,0.0,0.0,0.0,0.0,0.0,0.0,4.0,967.0,6856,0.0
D16008,52254,2231,8781.0,14344,2277,0.0,7.0,8905,13.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,2285,0.0
D16009,20545,555,552.0,5757,1110,0.0,0.0,1145,0.0,0.0,0.0,0.0,0.0,0.0,107.0,2.0,659,0.0
D16010,52254,2231,8781.0,14344,2277,0.0,7.0,8905,13.0,0.0,0.0,0.0,0.0,1.0,34.0,1.0,2285,0.0
D16011,26575,677,814.0,9670,1445,2.0,0.0,5625,956.0,0.0,0.0,0.0,0.0,0.0,3005.0,6.0,7383,0.0
D16012,20700,499,414.0,9082,2264,0.0,0.0,6811,738.0,0.0,0.0,0.0,0.0,0.0,90.0,174.0,4978,0.0
D17001,32411,1158,7163.0,2759,673,0.0,6.0,5121,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,114,0.0
D17002,53100,2067,8309.0,5596,1419,0.0,18.0,10362,0.0,0.0,0.0,0.0,0.0,0.0,317.0,0.0,273,0.0
D17003,26562,922,2442.0,4641,2058,0.0,1.0,10135,0.0,0.0,0.0,129.0,0.0,0.0,2707.0,1.0,3110,0.0
D17004,29295,1203,976.0,7454,1842,0.0,11.0,9342,116.0,0.0,0.0,629.0,0.0,0.0,2069.0,0.0,2693,0.0
D17005,23317,733,1411.0,5035,1403,0.0,4.0,7291,0.0,0.0,0.0,260.0,0.0,0.0,815.0,0.0,4097,1.0
D18001,32263,1187,530.0,9089,2320,639.0,0.0,6589,1010.0,0.0,0.0,0.0,0.0,248.0,9.0,477.0,13188,0.0
D18002,27224,2469,1665.0,1682,1769,8.0,0.0,4053,46.0,0.0,0.0,0.0,0.0,57.0,799.0,25.0,726,0.0
D18003,25155,1607,460.0,2193,1407,0.0,0.0,2301,269.0,0.0,0.0,0.0,0.0,592.0,1436.0,4.0,5169,0.0
