clave_mun,robo_casa,robo_vehiculos,robo_transportistas,robo_bancos,robo_negocio,robo_maquinaria,secuestro,feminicidio,extorsion,homicidio_doloso,pob,mpo_inegi_x,Ranking Modelo_x,pob_2015_x,start_year_x,end_year_x,mpo_ine_x,mpo_inegi_y,Ranking Modelo_y,pob_2015_y,start_year_y,end_year_y,mpo_ine_y,mpo_inegi,Ranking Modelo,pob_2015,start_year,end_year,mpo_ine,date
7012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,51722.0,7012,182,51707,2018,2021,7012.0,7012,182,51707,2018,2021,7012.0,7012,182,51707,2018,2021,7012.0,2020/05
7013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34997.0,7013,88,34982,2018,2021,7013.0,7013,88,34982,2018,2021,7013.0,7013,88,34982,2018,2021,7013.0,2020/05
7014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22606.0,7014,88,22591,2018,2021,7014.0,7014,88,22591,2018,2021,7014.0,7014,88,22591,2018,2021,7014.0,2020/05
7015,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45594.0,7015,293,45582,2018,2021,7015.0,7015,293,45582,2018,2021,7015.0,7015,293,45582,2018,2021,7015.0,2020/05
7016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17065.0,7016,234,17051,2019,2021,7016.0,7016,234,17051,2019,2021,7016.0,7016,234,17051,2019,2021,7016.0,2020/05
7017,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,84455.0,7017,89,84401,2018,2021,7017.0,7017,89,84401,2018,2021,7017.0,7017,89,84401,2018,2021,7017.0,2020/05
7018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9210.0,7018,182,9199,2018,2021,7018.0,7018,182,9199,2018,2021,7018.0,7018,182,9199,2018,2021,7018.0,2020/05
7019,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153448.0,7019,132,153437,2018,2021,7019.0,7019,132,153437,2018,2021,7019.0,7019,132,153437,2018,2021,7019.0,2020/05
7020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46405.0,7020,89,46405,2018,2021,7020.0,7020,89,46405,2018,2021,7020.0,7020,89,46405,2018,2021,7020.0,2020/05
7021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21800.0,7021,182,21797,2018,2021,7021.0,7021,182,21797,2018,2021,7021.0,7021,182,21797,2018,2021,7021.0,2020/05
7022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16803.0,7022,88,16776,2018,2021,7022.0,7022,88,16776,2018,2021,7022.0,7022,88,16776,2018,2021,7022.0,2020/05
